pt,eta,phi,mass,tau21,vjet
753.610657,-0.317917,-1.494569,96.467807,0.140129,1
653.757690,0.981161,1.728725,83.243149,0.467838,1
856.674561,-0.109206,2.817978,5.296840,0.858487,0
736.651428,0.644127,-1.262922,77.465711,0.157115,1
592.353882,-0.667585,0.580451,67.374304,0.361245,1
580.596375,-0.811814,0.575122,101.455001,0.285023,1
562.384216,1.153895,-2.667053,100.302953,0.330590,1
214.676346,-2.133587,-1.501359,1.649754,0.697570,0
1039.541382,-0.160308,-2.034391,98.613458,0.518312,1
959.088806,-0.453429,0.975717,292.127644,0.473036,0
923.319763,0.614208,0.556585,82.470691,0.280078,1
879.070374,0.451869,-2.352719,93.152631,0.199157,1
784.203918,-0.269046,1.557471,60.257819,0.373722,1
777.618774,0.023263,-1.591544,80.259195,0.320873,1
767.533447,0.244653,-2.561293,88.181327,0.336588,1
777.526367,-0.831062,0.645447,95.140005,0.369071,1
1000.524841,-1.698565,1.833535,82.343634,0.521406,1
563.319458,0.692486,-1.825161,38.453438,0.734688,0
441.859680,-0.802788,-0.832622,71.576367,0.442809,1
827.977051,1.241802,-0.923264,96.970905,0.358758,1
785.005554,0.288697,2.128148,115.453747,0.250917,1
924.750244,-1.073265,-3.096457,101.478598,0.704053,1
830.070068,-1.308979,-0.062523,85.233243,0.531416,1
967.822876,0.289483,-1.421179,91.029446,0.345102,1
943.706238,0.260619,1.690925,99.815537,0.495923,1
696.227173,1.115681,-1.555996,92.274416,0.238209,1
461.119507,-0.542475,1.590625,17.950029,0.795021,1
947.010620,-0.004893,-1.183210,122.131899,0.496194,1
821.174255,-0.753603,1.877054,82.548702,0.652661,1
937.740967,0.871089,2.046984,92.725763,0.254629,1
866.573730,0.704169,-1.119616,85.632743,0.262084,1
1020.301636,0.390011,0.210739,7.370420,0.632579,1
740.469849,0.580097,-2.664296,85.263036,0.260726,1
279.927429,1.216317,2.577088,71.928359,0.436847,0
810.584839,0.935606,1.512965,68.213767,0.389041,1
632.956177,-0.273026,-1.599664,78.418062,0.195846,1
885.243713,0.691497,0.500856,100.212626,0.330231,1
868.141357,0.353190,-2.704787,80.547033,0.331656,1
909.407654,-1.004555,-0.081381,85.170136,0.189893,1
875.027771,-0.589740,3.023693,95.710060,0.274246,1
792.296082,0.078844,-2.252614,95.155321,0.324174,1
645.733337,1.394170,0.929334,84.174520,0.472687,1
840.769531,-0.967841,-0.852243,98.330416,0.398643,1
754.235657,-0.050370,2.337290,18.720560,0.534250,1
974.372620,0.308317,2.143257,363.830842,0.341079,0
688.188110,0.037988,-0.570928,42.082735,0.572828,1
412.309662,-2.219763,3.052153,0.119667,0.300124,0
176.758759,1.104995,-1.498845,0.000000,0.777767,0
1437.740356,-0.933783,-1.801443,85.477806,0.153372,1
975.155640,1.025617,1.496292,9.496664,0.541197,0
674.726685,-0.750267,0.059902,187.635054,0.355677,0
651.407654,-1.198049,2.523846,83.871740,0.590449,1
794.029724,-1.121027,-0.874538,92.228518,0.313897,1
758.711731,-0.055868,2.271085,88.820002,0.263105,1
258.257568,-2.304916,-1.640184,3.223008,0.747607,0
166.152908,0.105154,1.329211,0.000000,0.673324,0
750.304810,-1.648645,-0.491411,7.937969,0.594482,1
389.324799,0.539453,2.793036,95.023079,0.551348,1
370.056030,-1.763053,2.556118,5.156471,0.807414,0
1031.905762,-0.113809,1.768947,108.075937,0.295384,1
851.912964,0.009380,-1.157926,109.566642,0.209867,1
257.343079,-0.100987,-2.030132,24.946469,0.667685,0
838.726929,-0.134644,-2.765865,92.168731,0.695000,1
775.560974,0.812803,0.350270,91.540089,0.380008,1
891.912292,0.278037,-1.257110,96.869237,0.166732,1
693.597290,-0.748822,1.994496,87.479453,0.239111,1
992.880249,0.343097,1.778790,98.572537,0.369377,1
838.314880,-0.458525,-1.318662,87.617654,0.246949,1
883.373230,-0.083764,-0.941011,82.236126,0.333698,1
832.531311,-0.168987,2.305420,64.151762,0.342541,1
977.658325,0.203518,-2.570215,94.627704,0.225420,1
795.279480,-0.424103,0.472109,177.446551,0.540432,1
907.851562,-1.205331,-2.025311,92.251122,0.268735,1
815.223389,-0.482256,1.103361,118.362509,0.340791,1
801.704834,-0.015274,-0.385416,79.085943,0.557936,1
688.484192,-0.319668,2.883068,50.444406,0.464267,1
963.409668,0.441151,-1.362595,11.189667,0.457787,1
864.081421,-0.617222,1.746796,96.941977,0.438233,1
846.889648,-0.645297,-0.029189,100.507113,0.379799,1
825.956421,0.182201,-3.140732,93.809315,0.332652,1
929.595520,0.246838,-1.776664,100.606625,0.253290,1
855.115601,0.823312,1.423802,85.682026,0.265237,1
760.212280,-0.077155,2.580339,84.272615,0.432186,1
727.868774,1.311605,-0.683803,97.136119,0.648325,1
937.283081,0.615706,-0.924709,3.770603,0.578139,1
810.049133,0.216663,2.307352,72.126321,0.361816,1
1201.037720,0.514019,-3.115978,86.902185,0.167574,1
1051.800049,0.528454,0.072103,280.714213,0.508928,0
956.456726,-0.725152,-1.079536,58.922242,0.585670,1
849.877869,-0.630721,1.524080,3.526720,0.587506,1
399.326935,-1.427893,-2.768460,10.907143,0.838136,0
225.685944,-0.158160,2.735447,57.322663,0.351038,0
894.268982,0.436316,2.603379,95.230077,0.256170,1
866.312378,0.172536,-0.562579,90.434163,0.214198,1
862.751953,-0.158557,-0.042476,84.542915,0.381549,1
827.926025,0.324058,3.112563,90.605208,0.162824,1
994.642639,0.358734,-0.574239,84.847094,0.191993,1
715.706299,0.368193,2.630553,99.494631,0.438697,1
379.887878,-0.886017,2.482096,14.909482,0.767039,0
874.892700,0.108166,-1.679533,85.424858,0.278444,1
793.594727,-0.708589,1.213734,86.201449,0.322538,1
278.792236,0.408711,2.599678,0.620891,0.757034,0
804.174988,0.768709,-2.927838,89.901414,0.380401,1
743.544617,-0.364067,0.024625,45.840140,0.458531,1
936.509949,-0.420547,3.116268,61.234026,0.574878,1
747.563965,0.120606,-0.003356,70.344533,0.255374,1
1097.628296,-0.083319,-1.809718,87.340992,0.329730,1
655.855591,0.891197,1.136669,107.002005,0.189244,1
391.305634,-1.636117,1.461778,1.633477,0.667341,0
965.907288,-0.402380,1.559206,86.177130,0.345395,1
837.098572,-0.498440,-1.667769,96.621594,0.421441,1
990.550903,0.921823,-1.187670,100.229084,0.343881,1
745.482361,0.646696,2.067258,88.553755,0.247579,1
268.649292,-1.499376,1.564204,91.149440,0.250188,0
865.223816,0.109671,2.166535,101.036375,0.133523,1
783.867188,-0.986663,-0.952341,111.288226,0.399576,1
994.425598,0.371562,0.399761,76.799499,0.380608,1
861.101196,0.018834,-2.946611,96.512733,0.125681,1
272.408905,1.460082,-2.168392,5.227082,0.821079,0
834.316162,-0.848765,-2.064982,93.948037,0.428898,1
861.291626,-0.194314,1.221479,86.693300,0.390762,1
895.663147,0.390806,2.568340,3.914130,0.528749,1
785.676453,0.850789,-0.464489,85.345719,0.350007,1
1226.460205,-0.074449,2.321760,39.946651,0.590120,1
1039.064575,0.154632,-0.259297,0.000015,0.758494,0
728.713379,-0.150982,-1.604397,86.171672,0.206590,1
1370.233887,-0.148713,-2.611256,72.452809,0.368493,1
721.257202,-1.681547,0.517730,121.820500,0.298031,0
591.064392,0.265808,0.521378,202.057574,0.443351,0
907.718384,0.300446,-0.523940,88.071457,0.222843,1
814.983337,0.047788,2.584577,74.221054,0.529896,1
1136.453613,-0.102726,1.181893,357.034342,0.389659,0
912.915283,0.720333,-1.867110,89.611985,0.501717,1
410.251129,-1.100658,3.101686,100.711937,0.435899,0
197.408691,1.885861,-0.617193,0.000000,0.682846,0
1028.238525,1.325867,1.733578,310.416056,0.446158,1
954.261047,0.754181,-1.486468,92.275944,0.393547,1
804.815979,-0.220335,1.828494,82.277310,0.156005,1
846.993774,0.428072,-1.215852,84.362264,0.234921,1
854.747681,-0.232502,-1.543546,87.442643,0.428053,1
833.734436,0.790679,1.602739,89.902056,0.403928,1
758.175964,-0.288711,0.790747,84.168343,0.404974,1
431.425110,1.917346,-2.005177,103.039746,0.208990,1
412.734497,0.170438,-2.609598,31.240098,0.287209,0
1014.711975,-0.290008,1.007730,99.021277,0.647407,1
947.096191,-0.474636,-2.141798,108.776847,0.447475,1
962.591553,0.074885,0.303396,90.006433,0.240485,1
938.724915,0.232256,-2.665869,80.034724,0.478613,1
