jet,constituent,eta,phi,px,py,pz,p
1,24,0.802510,1.263809,0.225569,0.711556,0.665438,9.958549
1,25,0.577085,1.170350,0.332850,0.786286,0.520543,8.257777
1,26,0.526444,1.118590,0.382685,0.787777,0.482658,7.622420
1,27,0.991644,1.245642,0.208343,0.618008,0.758063,9.708997
1,28,1.003310,1.242810,0.208237,0.611962,0.762981,8.828659
1,29,0.911710,1.254728,0.215078,0.657668,0.721952,8.117990
1,30,0.919767,1.278846,0.197998,0.658810,0.725787,7.251259
1,31,0.888821,1.108044,0.313999,0.629406,0.710811,6.592024
1,32,0.863516,1.206480,0.255131,0.669040,0.698065,6.333709
1,33,0.868334,1.204917,0.255314,0.666391,0.700527,5.873393
1,34,0.933069,1.195547,0.249693,0.633875,0.732022,5.624742
1,35,0.578239,1.112922,0.377205,0.765425,0.521384,3.868154
1,36,0.684270,1.424949,0.116883,0.795713,0.594288,4.092021
1,37,0.756237,1.220841,0.263768,0.722696,0.638855,4.209240
1,38,1.061678,1.169369,0.241410,0.568723,0.786305,5.099053
1,39,0.429605,1.199350,0.331865,0.851967,0.404991,3.264036
1,40,0.323358,1.038114,0.482405,0.818294,0.312540,3.102696
1,41,0.657197,1.115851,0.359045,0.733989,0.576495,3.413364
1,42,0.849319,1.350924,0.157718,0.705719,0.690714,3.646266
1,43,0.910245,1.247504,0.220056,0.656791,0.721250,2.887357
1,44,0.373418,0.980981,0.519560,0.776288,0.356978,1.853572
1,45,0.807886,1.207953,0.263993,0.695355,0.668422,2.174277
1,46,0.804799,1.307859,0.193721,0.719700,0.666711,1.982433
1,47,0.244390,1.002088,0.522852,0.818046,0.239638,1.496737
1,48,0.612873,1.063517,0.406951,0.732199,0.546146,1.536499
1,49,0.364516,1.689024,-0.110528,0.930512,0.349186,1.302704
1,50,0.890469,1.044456,0.352946,0.607469,0.711625,1.382362
1,51,0.523881,1.062443,0.426817,0.766006,0.480690,0.985593
1,52,0.899442,1.266536,0.209135,0.666010,0.716026,1.032417
1,53,1.069552,1.077286,0.290873,0.540750,0.789292,1.103770
1,54,0.762657,1.336863,0.177602,0.745300,0.642640,0.788981
1,55,0.612350,1.274643,0.244544,0.801451,0.545779,0.663140
1,56,-0.027372,1.148770,0.409457,0.911919,-0.027365,0.419591
1,57,1.038056,1.306481,0.164417,0.607497,0.777119,0.629599
1,58,0.836085,1.420749,0.109084,0.721536,0.683730,0.351958
1,59,0.611957,1.211270,0.294873,0.784523,0.545503,0.283580
1,60,0.976715,1.286858,0.184772,0.633164,0.751640,0.356824
1,61,1.162374,0.442004,0.515003,0.243715,0.821812,0.290093
1,62,0.960784,0.984111,0.369520,0.555866,0.744626,0.160845
1,63,1.467210,0.955204,0.252838,0.357481,0.899044,0.230559
2,0,-0.668002,2.032191,-0.361498,0.727087,-0.583664,90.517789
2,1,-0.454299,2.249581,-0.568197,0.704389,-0.425427,76.934307
2,2,-0.663414,2.010120,-0.346287,0.736853,-0.580631,60.644808
2,3,-0.508866,2.266963,-0.566358,0.677658,-0.469061,33.013335
2,4,-0.504837,2.269405,-0.569082,0.677548,-0.465913,31.891696
2,5,-0.663969,2.031312,-0.361708,0.729114,-0.580999,31.791204
2,6,-0.465004,2.250557,-0.566274,0.700603,-0.434154,27.751910
2,7,-0.470970,2.268917,-0.577534,0.688294,-0.438982,25.667904
2,8,-0.442763,2.250948,-0.571929,0.707035,-0.415932,24.724519
2,9,-0.497330,2.271944,-0.572787,0.678455,-0.460014,21.750480
2,10,-0.611225,2.038539,-0.378031,0.748384,-0.544989,22.661049
2,11,-0.686850,2.038735,-0.362199,0.716694,-0.595954,21.170126
2,12,-0.689779,2.000646,-0.334061,0.728691,-0.597840,19.686812
2,13,-0.669454,2.011291,-0.345931,0.733860,-0.584621,18.219064
2,14,-0.435456,2.037366,-0.410305,0.814650,-0.409871,16.162138
2,15,-0.692160,2.031899,-0.356159,0.716874,-0.599368,18.055712
2,16,-0.490771,2.279758,-0.579808,0.675984,-0.454828,13.035755
2,17,-0.613649,1.959826,-0.317594,0.774767,-0.546690,13.220890
2,18,-0.541885,2.221651,-0.526635,0.691528,-0.494413,10.363017
2,19,-0.530056,2.015688,-0.376254,0.789174,-0.485424,9.445285
2,20,-0.503006,2.203975,-0.524009,0.713915,-0.464478,8.407228
2,21,-0.678793,2.001820,-0.337110,0.733069,-0.590734,8.782045
2,22,-0.469040,2.293623,-0.594864,0.674386,-0.437424,7.519241
2,23,-0.472060,2.270872,-0.578601,0.686834,-0.439863,6.550541
2,24,-0.709321,1.975257,-0.311752,0.728289,-0.610251,6.903172
2,25,-0.527942,2.257493,-0.554849,0.676812,-0.483806,5.338217
2,26,-0.439650,2.263743,-0.581679,0.700563,-0.413354,5.109263
2,27,-0.495865,2.286205,-0.582796,0.670669,-0.458859,5.187763
2,28,-0.717429,2.052111,-0.364931,0.698723,-0.615314,5.817636
2,29,-0.476220,2.238836,-0.555284,0.703721,-0.443212,4.662659
2,30,-0.451186,2.252610,-0.571082,0.703593,-0.422873,4.427022
2,31,-0.702231,2.079944,-0.387817,0.694713,-0.605782,4.973452
2,32,-0.486892,2.224870,-0.542803,0.708018,-0.451746,3.945015
2,33,-0.432875,2.116859,-0.474200,0.780319,-0.407721,3.625586
2,34,-0.765484,1.920173,-0.261792,0.718573,-0.644296,4.124471
2,35,-0.692500,2.138155,-0.430092,0.674921,-0.599585,3.589914
2,36,-0.635343,1.934144,-0.294037,0.773313,-0.561720,3.425469
2,37,-0.545671,2.048309,-0.398723,0.770548,-0.497269,2.402020
