Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-0.422987,-2.722056,-0.837254,-0.373430,-0.399443,288.789458
0,1,-0.425184,-2.737290,-0.842105,-0.360315,-0.401289,68.576215
0,2,-0.428663,-2.703305,-0.828215,-0.388176,-0.404203,50.872220
0,3,-0.426099,-2.716978,-0.834306,-0.377206,-0.402056,41.843465
0,4,-0.425916,-2.721079,-0.835907,-0.373809,-0.401903,40.270517
0,5,-0.389843,-3.058297,-0.925323,-0.077254,-0.371225,36.347273
0,6,-0.449904,-2.738560,-0.834033,-0.355609,-0.421820,36.465472
0,7,-0.427198,-3.052046,-0.911543,-0.081845,-0.402977,19.087148
0,8,-0.232917,-2.750669,-0.900033,-0.370935,-0.228795,13.193717
0,9,-0.183477,-2.913762,-0.957988,-0.222116,-0.181446,12.178718
0,10,-0.449904,-2.660043,-0.803570,-0.419932,-0.421820,11.460085
0,11,-0.454299,-3.072068,-0.902807,-0.062869,-0.425426,7.285966
0,12,-0.448256,-3.070405,-0.905011,-0.064535,-0.420464,6.681846
0,13,-0.671102,-2.737875,-0.745364,-0.318407,-0.585704,7.441167
0,14,-0.336375,-2.847155,-0.905266,-0.274523,-0.324237,5.764550
0,15,-0.524979,-2.980464,-0.865075,-0.140607,-0.481534,6.057083
0,16,-0.585223,-2.819326,-0.806437,-0.269274,-0.526451,6.004983
0,17,-0.485061,-3.026652,-0.886992,-0.102402,-0.450288,4.589240
0,18,-0.573138,-2.749398,-0.790624,-0.327020,-0.517660,4.775598
0,19,-0.483413,-2.966690,-0.879913,-0.155488,-0.448973,4.078731
0,20,-0.399182,3.105860,-0.924704,0.033057,-0.379249,3.556722
0,21,-0.350841,-2.924409,-0.919345,-0.202866,-0.337121,3.151268
0,22,-0.331248,-3.062011,-0.944540,-0.075327,-0.319642,2.933176
0,23,-0.193365,-2.843938,-0.938428,-0.287880,-0.190991,2.592648
0,24,-0.225227,-3.123529,-0.975003,-0.017614,-0.221494,2.307310
