Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,1.002899,2.584942,-0.549003,0.341641,0.762809,248.019035
0,1,1.005097,2.582892,-0.547382,0.342191,0.763726,103.304951
0,2,1.270424,2.461989,-0.404791,0.327074,0.853913,123.819132
0,3,0.988433,2.584454,-0.554901,0.345687,0.756694,93.878621
0,4,1.003815,2.592852,-0.551303,0.337052,0.763192,90.339694
0,5,0.994476,2.575762,-0.549354,0.348895,0.759264,61.128366
0,6,1.001251,2.573126,-0.545613,0.348542,0.762119,45.829762
0,7,1.227943,2.417750,-0.404234,0.357298,0.841982,52.652303
0,8,1.012604,2.597344,-0.549107,0.332330,0.766837,26.729712
0,9,0.984954,2.598225,-0.561082,0.338903,0.755203,24.433005
0,10,0.901639,2.545977,-0.576959,0.391016,0.717095,20.086789
0,11,1.171178,2.526932,-0.462114,0.326197,0.824650,19.004887
0,12,0.756615,2.749987,-0.710915,0.293560,0.639079,12.544427
0,13,1.031648,2.511406,-0.511000,0.372724,0.774568,14.871771
0,14,1.038972,2.481129,-0.496652,0.385823,0.777482,11.621134
0,15,0.855129,2.902727,-0.699777,0.170406,0.693739,9.789676
0,16,1.244240,2.403978,-0.393819,0.357873,0.846660,11.473565
0,17,1.187841,2.154072,-0.307270,0.465658,0.829908,7.323782
0,18,0.968474,2.573025,-0.559250,0.357332,0.748033,5.974197
0,19,1.130345,2.368825,-0.418746,0.408299,0.811137,6.525378
0,20,1.247719,2.461889,-0.412654,0.333495,0.847643,6.644566
0,21,1.355754,2.445490,-0.370928,0.309966,0.875405,4.323300
0,22,0.978362,2.717862,-0.600497,0.270857,0.752356,2.827000
0,23,0.926908,2.476058,-0.538304,0.422575,0.729149,2.632783
0,24,1.256691,2.312089,-0.355543,0.388375,0.850149,2.741207
0,25,1.141881,2.704763,-0.524989,0.245124,0.815046,2.361364
0,26,1.058382,2.506026,-0.498486,0.367720,0.785044,2.137767
0,27,1.015534,1.877018,-0.193054,0.610609,0.768041,1.980877
0,28,1.256874,2.112182,-0.271297,0.451174,0.850200,2.372496
0,29,0.837367,2.496861,-0.582738,0.438175,0.684412,1.709095
0,30,1.238380,2.598215,-0.457752,0.276496,0.844993,2.160288
0,31,1.096835,2.534444,-0.493468,0.342804,0.799359,1.908094
0,32,0.991363,2.345473,-0.456289,0.466179,0.757943,1.729103
0,33,0.914823,2.572921,-0.581733,0.371783,0.723439,1.621031
0,34,1.284890,2.513562,-0.415932,0.302009,0.857782,2.124065
0,35,1.093539,2.546572,-0.498900,0.337682,0.798166,1.732870
0,36,0.881130,2.213163,-0.423695,0.566264,0.706985,1.437445
0,37,1.123936,2.641477,-0.515898,0.281914,0.808934,1.664425
0,38,1.328104,2.506513,-0.398639,0.293767,0.868785,1.834054
0,39,0.632466,2.525086,-0.676109,0.479124,0.559748,1.078898
0,40,1.015534,2.435239,-0.487174,0.415661,0.768041,1.287799
0,41,1.302103,2.253981,-0.319711,0.392793,0.862263,1.252374
0,42,1.465804,2.326835,-0.300770,0.318971,0.898774,1.437850
0,43,0.683187,3.101956,-0.804137,0.031890,0.593588,0.777227
0,44,1.103794,2.365801,-0.426546,0.418429,0.801858,1.045181
0,45,0.992828,2.214820,-0.391230,0.521073,0.758566,0.928459
0,46,0.890286,2.623024,-0.610273,0.348260,0.711535,0.839455
0,47,1.027070,2.158068,-0.351701,0.528388,0.772731,0.877736
0,48,1.058565,2.723418,-0.565983,0.251514,0.785114,0.844350
0,49,1.254677,2.380244,-0.381820,0.363883,0.849590,0.975741
0,50,1.183630,2.649109,-0.493320,0.264707,0.828593,0.875650
0,51,1.276467,2.538949,-0.426531,0.293464,0.855541,0.841254
0,52,1.009308,3.032608,-0.639647,0.069989,0.765476,0.608583
0,53,0.475723,3.064543,-0.893955,0.069016,0.442811,0.423686
0,54,1.423322,2.772737,-0.424765,0.164192,0.890290,0.826143
0,55,1.250465,2.942475,-0.518874,0.104704,0.848414,0.513802
0,56,1.078341,2.019693,-0.264620,0.549353,0.792583,0.341529
0,57,1.674368,-3.132910,-0.362118,-0.003144,0.932127,0.501250
1,0,-0.413465,-0.507535,0.804219,-0.447248,-0.391411,148.470554
1,1,-0.559954,-0.285360,0.826556,-0.242484,-0.507943,65.119988
1,2,-0.564898,-0.260945,0.830135,-0.221674,-0.511602,64.484175
1,3,-0.422071,-0.488296,0.809915,-0.430228,-0.398674,46.205790
1,4,-0.433424,-0.475405,0.811668,-0.417834,-0.408179,34.026104
1,5,-0.594195,-0.257332,0.818312,-0.215352,-0.532906,34.068779
1,6,-0.565447,-0.263290,0.829380,-0.223557,-0.512008,29.067877
1,7,-0.714682,-0.481069,0.699993,-0.365375,-0.613605,28.415805
1,8,-0.572588,-0.271591,0.824460,-0.229589,-0.517258,24.263733
1,9,-0.385998,-0.490737,0.820126,-0.438222,-0.367905,22.247893
1,10,-0.422437,-0.533414,0.789571,-0.466252,-0.398982,20.516187
1,11,-0.423170,-0.505485,0.802049,-0.443891,-0.399597,19.175632
1,12,-0.561785,-0.273738,0.828547,-0.232645,-0.509300,17.248366
1,13,-0.539079,-0.278816,0.836817,-0.239558,-0.492290,13.867053
1,14,-0.559587,-0.267197,0.830979,-0.227474,-0.507671,11.135442
1,15,-0.566729,-0.231356,0.835545,-0.196833,-0.512953,9.019147
1,16,-0.359264,-0.519448,0.814933,-0.466002,-0.344565,6.695152
1,17,-0.550615,-0.232431,0.842186,-0.199353,-0.500981,6.382095
1,18,-0.632466,-0.412124,0.759281,-0.331926,-0.559748,5.260732
1,19,-0.586505,-0.107135,0.844760,-0.090851,-0.527377,4.397588
1,20,-0.527360,-0.352254,0.821668,-0.302033,-0.483360,3.897676
1,21,-0.425733,-0.368562,0.854254,-0.329922,-0.401749,3.111778
1,22,-0.419324,-0.233597,0.893159,-0.212519,-0.396361,2.903857
1,23,-0.408521,-0.396981,0.850288,-0.356474,-0.387216,2.675516
1,24,-0.195563,-0.306548,0.935436,-0.296090,-0.193107,2.506156
