Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-1.156529,0.170025,0.564244,0.096871,-0.819906,171.834446
0,1,-1.229225,-0.100101,0.536226,-0.053857,-0.842354,179.176399
0,2,-1.169896,0.161626,0.558862,0.091121,-0.824239,115.785283
0,3,-1.163488,0.175396,0.560504,0.099331,-0.822173,73.673135
0,4,-1.215125,-0.084768,0.543389,-0.046173,-0.838210,68.362408
0,5,-1.178869,0.194538,0.551461,0.108654,-0.827095,50.233500
0,6,-1.228858,-0.106547,0.536033,-0.057330,-0.842248,48.490237
0,7,-1.152684,0.142289,0.568501,0.081442,-0.818641,38.579229
0,8,-1.221168,-0.099808,0.539889,-0.054065,-0.839998,40.085585
0,9,-1.176305,0.191022,0.553010,0.106941,-0.826283,33.760235
0,10,-1.156896,0.150980,0.565816,0.086082,-0.820026,18.851226
0,11,-1.161107,0.188679,0.560230,0.106976,-0.821400,14.807193
0,12,-1.156529,0.175300,0.563725,0.099846,-0.819906,13.741843
0,13,-1.225929,-0.065235,0.539272,-0.035229,-0.841394,13.762400
0,14,-1.154698,-0.126370,0.568787,-0.072262,-0.819305,11.684170
0,15,-1.262185,-0.089259,0.522000,-0.046717,-0.851665,12.305645
0,16,-1.153600,-0.194637,0.563039,-0.110993,-0.818943,9.965153
0,17,-1.246254,-0.104787,0.528313,-0.055564,-0.847230,10.301926
0,18,-1.107273,0.065531,0.594571,0.039019,-0.803096,8.791283
0,19,-1.164403,0.166409,0.560951,0.094219,-0.822470,9.064994
0,20,-1.304849,-0.132526,0.500831,-0.066764,-0.862966,8.975861
0,21,-1.238929,-0.110162,0.531289,-0.058766,-0.845150,8.433238
0,22,-1.084384,0.018162,0.606746,0.011021,-0.794819,7.215839
0,23,-0.844874,0.237705,0.704952,0.170800,-0.688382,5.029913
0,24,-1.017182,0.537910,0.549268,0.327689,-0.768716,5.655478
0,25,-1.130345,0.193563,0.573934,0.112501,-0.811137,5.904231
0,26,-1.543443,-0.201768,0.400347,-0.081891,-0.912697,6.146581
0,27,-1.607532,0.306743,0.367308,0.116341,-0.922794,6.067833
0,28,-1.762993,-0.477159,0.296032,-0.153050,-0.942836,6.669516
0,29,-1.273354,0.194337,0.509343,0.100250,-0.854704,4.180038
0,30,-1.120273,-0.175596,0.580576,-0.103008,-0.807664,3.640312
0,31,-0.843776,-0.655591,0.575409,-0.442527,-0.687804,2.919342
0,32,-1.228858,0.146103,0.533347,0.078483,-0.842248,3.811396
0,33,-1.178503,-0.019332,0.562128,-0.010868,-0.826979,3.647565
0,34,-1.149571,0.220900,0.561779,0.126156,-0.817612,3.331139
0,35,-1.278481,-0.024225,0.516692,-0.012519,-0.856080,3.370821
0,36,-0.586322,0.566710,0.716879,0.456177,-0.527245,1.841154
0,37,-1.619984,0.042671,0.380540,0.016248,-0.924622,3.992024
0,38,-1.274636,0.030672,0.518303,0.015902,-0.855049,2.815485
0,39,-0.977081,0.098043,0.656225,0.064545,-0.751799,2.063039
0,40,-0.850734,0.155173,0.713742,0.111651,-0.691453,1.870877
0,41,-0.709372,0.558799,0.671686,0.419990,-0.610283,1.690097
0,42,-0.976531,-0.334100,0.623189,-0.216316,-0.751560,2.020737
0,43,-1.489792,-0.391117,0.396639,-0.163559,-0.903286,2.854314
0,44,-0.524247,-0.281055,0.842336,-0.243180,-0.480971,1.372277
0,45,-1.394208,-0.534497,0.402132,-0.238052,-0.884093,2.459636
0,46,-1.437056,-0.293963,0.430554,-0.130343,-0.893103,2.511680
