Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-0.302683,-0.880886,0.608385,-0.737271,-0.293766,135.739153
0,1,-0.491104,-1.013312,0.471092,-0.755621,-0.455092,141.502383
0,2,-0.311289,-0.889676,0.600342,-0.740690,-0.301609,91.118224
0,3,-0.310556,-0.888699,0.601197,-0.740267,-0.300943,76.089868
0,4,-0.495315,-1.015559,0.468492,-0.755223,-0.458425,73.559767
0,5,-0.302316,-0.880789,0.608523,-0.737291,-0.293431,66.522032
0,6,-0.490738,-1.001398,0.480141,-0.750080,-0.454802,70.423604
0,7,-0.306162,-0.882839,0.606321,-0.737700,-0.296941,36.489585
0,8,-0.491653,-1.012140,0.471860,-0.754880,-0.455528,35.349341
0,9,-0.522233,-0.999054,0.474860,-0.738013,-0.479421,32.831584
0,10,-0.317698,-0.905301,0.587548,-0.748517,-0.307424,18.505548
0,11,-0.430860,-1.051008,0.453909,-0.793157,-0.406040,13.892038
0,12,-0.434706,-1.020052,0.477491,-0.777508,-0.409246,10.257705
0,13,-0.233467,-0.691328,0.749870,-0.620572,-0.229315,7.420393
0,14,-0.665609,-1.077766,0.384852,-0.716287,-0.582084,8.464604
0,15,-0.395154,-0.768385,0.666331,-0.644035,-0.375795,5.939235
0,16,-0.492203,-1.060972,0.434341,-0.776818,-0.455963,6.048112
0,17,-0.351390,-0.798171,0.657035,-0.674037,-0.337608,4.996484
0,18,-0.428480,-0.865845,0.592747,-0.696703,-0.404050,5.128695
0,19,-0.599506,-0.863896,0.548015,-0.641588,-0.536698,4.395705
0,20,-0.423353,-0.962728,0.523652,-0.752322,-0.399751,3.611675
0,21,-0.196112,-0.937623,0.580507,-0.790896,-0.193636,3.159406
0,22,-0.420972,-1.080303,0.432196,-0.809322,-0.397749,3.361312
0,23,-0.448805,-1.002566,0.488147,-0.764553,-0.420916,3.380452
0,24,-0.406507,-1.228752,0.309488,-0.869255,-0.385502,3.031163
0,25,-0.499344,-1.228256,0.297955,-0.835552,-0.461601,2.954718
0,26,-0.499161,-0.800118,0.618017,-0.636485,-0.461457,2.769539
0,27,-1.077059,-1.322506,0.150000,-0.591665,-0.792106,3.881397
0,28,0.104190,-0.430478,0.903856,-0.415050,0.103815,2.232768
0,29,-0.501358,-1.010962,0.470645,-0.750968,-0.463185,1.835748
0,30,0.111332,-0.334086,0.938886,-0.325884,0.110874,1.624272
0,31,0.151616,-0.415449,0.904519,-0.399006,0.150465,1.585432
0,32,-0.079653,-1.562555,0.008215,-0.996802,-0.079485,1.396998
0,33,-0.481216,-0.709404,0.678646,-0.582612,-0.447217,1.548218
0,34,0.114628,-0.533033,0.855643,-0.504827,0.114128,1.152059
0,35,-0.187872,-0.887536,0.620345,-0.762030,-0.185692,1.163795
0,36,-0.382336,-0.805777,0.644842,-0.671675,-0.364734,1.179915
0,37,0.179266,-0.425590,0.896354,-0.406312,0.177370,1.103433
0,38,-0.630085,-0.910584,0.508883,-0.655401,-0.558111,1.199862
0,39,-0.507218,-0.183804,0.868960,-0.161542,-0.467774,1.124235
0,40,-0.837916,-1.004514,0.391012,-0.615053,-0.684704,1.226027
0,41,-0.287118,-1.255206,0.298010,-0.912733,-0.279480,0.894533
0,42,-1.010407,-1.178934,0.245539,-0.594190,-0.765930,1.293377
0,43,-0.279244,-1.184403,0.362620,-0.891297,-0.272206,0.849967
0,44,-0.226508,-1.287742,0.272275,-0.936091,-0.222713,0.795868
0,45,0.276681,-1.311962,0.246460,-0.930832,0.269830,0.794103
0,46,-1.074129,-0.631179,0.493927,-0.361022,-0.791012,1.215514
0,47,-0.219184,-1.141839,0.406128,-0.887984,-0.215740,0.725083
0,48,-0.209479,-0.188964,0.961036,-0.183794,-0.206468,0.648744
0,49,-0.234199,-0.831465,0.655729,-0.719108,-0.230009,0.619139
0,50,-0.598407,-1.007654,0.450711,-0.713901,-0.535915,0.688232
0,51,-0.364757,-0.762431,0.677582,-0.647151,-0.349397,0.614407
0,52,-0.069216,-1.145841,0.411294,-0.908879,-0.069106,0.554548
0,53,-0.472610,-0.430780,0.815821,-0.374923,-0.440305,0.611814
0,54,-0.398999,-0.710769,0.701293,-0.603720,-0.379092,0.547718
0,55,-0.464003,-0.356842,0.844457,-0.314815,-0.433341,0.551276
0,56,-0.609394,-0.555188,0.713221,-0.442387,-0.543700,0.557351
0,57,-0.642537,-1.390956,0.147387,-0.810687,-0.566624,0.555851
0,58,-1.020478,-1.390761,0.114238,-0.627659,-0.770061,0.661660
0,59,-0.473159,-0.240628,0.871769,-0.213917,-0.440748,0.452036
0,60,0.044130,-0.899641,0.621286,-0.782342,0.044101,0.396382
0,61,-1.122288,-0.675806,0.459293,-0.368237,-0.808363,0.657750
0,62,-0.416395,-0.886945,0.580709,-0.712481,-0.393889,0.405592
0,63,-0.033143,-1.024937,0.518868,-0.854212,-0.033131,0.372763
0,64,0.309458,-0.868487,0.616239,-0.728205,0.299944,0.375185
0,65,-0.817957,-0.482147,0.654552,-0.342555,-0.673956,0.451751
0,66,-0.549699,-1.201114,0.312850,-0.807360,-0.500295,0.346535
0,67,-0.117924,-0.385853,0.920073,-0.373748,-0.117380,0.170982
0,68,-0.553728,-0.969562,0.488791,-0.712575,-0.503309,0.195656
1,0,0.268441,2.454762,-0.746212,0.611909,0.262173,258.802718
1,1,0.287301,2.476736,-0.755605,0.592332,0.279649,225.757191
1,2,0.528825,2.282882,-0.571608,0.662225,0.484482,66.086450
1,3,0.261116,2.456325,-0.748584,0.611902,0.255339,50.615323
1,4,0.260567,2.445875,-0.742253,0.619777,0.254826,29.537627
1,5,0.347179,2.405444,-0.698537,0.632911,0.333871,26.654466
1,6,0.401929,2.394312,-0.678032,0.628217,0.381598,14.782693
1,7,0.515275,2.280344,-0.573638,0.667998,0.474045,13.690717
1,8,0.341319,2.320480,-0.643555,0.691247,0.328654,12.010956
1,9,0.387280,2.431226,-0.704618,0.606089,0.369013,12.188325
1,10,0.541642,2.285813,-0.569960,0.656416,0.494230,12.249002
1,11,0.434706,2.453980,-0.705088,0.579110,0.409246,9.118911
1,12,0.448073,2.274482,-0.587103,0.691843,0.420314,7.460534
1,13,0.327036,2.456226,-0.734554,0.600554,0.315855,7.068907
