Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-0.254158,-2.568829,-0.813974,-0.524912,-0.248823,309.999843
0,1,-0.322642,-2.393725,-0.696570,-0.646153,-0.311894,152.481214
0,2,-0.280160,-2.574004,-0.811157,-0.517171,-0.273053,132.211680
0,3,-0.316050,-2.405249,-0.705405,-0.639383,-0.305931,113.964149
0,4,-0.236030,-2.570879,-0.818607,-0.525526,-0.231743,97.208801
0,5,-0.317331,-2.428590,-0.719852,-0.622501,-0.307092,52.505842
0,6,-0.303415,-2.438942,-0.729303,-0.617596,-0.294435,35.348178
0,7,-0.314219,-2.403296,-0.704548,-0.641118,-0.304270,34.511326
0,8,-0.304880,-2.392554,-0.699578,-0.650469,-0.295772,16.512218
0,9,-0.314585,-2.442555,-0.729086,-0.612903,-0.304602,15.813986
0,10,-0.301401,-2.452419,-0.737997,-0.608070,-0.292594,12.679914
0,11,-0.346446,-2.352024,-0.663909,-0.669469,-0.333220,12.362795
0,12,0.033326,-2.573908,-0.842680,-0.537383,0.033314,7.930183
0,13,-0.400464,-2.835440,-0.881839,-0.278741,-0.380346,6.901499
0,14,-0.314035,-2.416286,-0.712856,-0.631947,-0.304104,6.417207
0,15,-0.465835,-2.494902,-0.718684,-0.542603,-0.434828,6.784322
0,16,-0.020875,-2.639727,-0.876496,-0.480957,-0.020872,5.860652
0,17,-0.248299,-2.415115,-0.725053,-0.644278,-0.243319,5.287824
0,18,0.120304,-2.050846,-0.458501,-0.880592,0.119727,4.343745
0,19,-0.318796,-2.295678,-0.630724,-0.712085,-0.308418,4.153659
0,20,-0.302133,-2.408182,-0.710231,-0.639975,-0.293264,3.924507
0,21,-1.033113,-2.368429,-0.452163,-0.441232,-0.775154,5.846025
0,22,-0.320994,-2.427911,-0.718616,-0.622286,-0.310405,1.999139
0,23,-0.442396,-2.489036,-0.722656,-0.552288,-0.415629,2.024989
0,24,-0.314951,-2.368828,-0.681883,-0.664868,-0.304935,1.835464
0,25,-0.235664,-2.595191,-0.831211,-0.505514,-0.231396,1.714501
0,26,-0.255989,-2.995300,-0.957765,-0.141122,-0.250540,1.698710
0,27,-0.648030,-2.714152,-0.747505,-0.340509,-0.570342,1.833268
0,28,-0.204535,-2.409358,-0.728393,-0.654789,-0.201730,1.332073
0,29,-0.128910,-2.339631,-0.689560,-0.712791,-0.128201,1.147161
0,30,-0.650594,-2.566298,-0.688178,-0.446259,-0.572069,1.376371
0,31,0.348460,-2.780447,-0.881435,-0.332928,0.335009,1.087240
0,32,0.056581,-2.853007,-0.957115,-0.284142,0.056521,1.004536
0,33,0.410169,-2.354964,-0.650726,-0.652329,0.388616,1.058808
0,34,-0.181829,-2.075641,-0.475785,-0.860977,-0.179852,0.833414
0,35,0.034059,-2.238650,-0.618944,-0.784697,0.034045,0.790009
0,36,0.362194,-2.877537,-0.905306,-0.244767,0.347145,0.838263
0,37,-0.976897,-2.420003,-0.495111,-0.435640,-0.751720,1.174275
0,38,-0.058779,-1.761083,-0.188814,-0.980256,-0.058711,0.632439
0,39,0.336009,-2.574889,-0.798191,-0.507911,0.323910,0.597134
0,40,-0.306162,-2.402129,-0.705506,-0.643496,-0.296941,0.584467
0,41,-0.272286,-2.069991,-0.461504,-0.846398,-0.265751,0.571832
0,42,0.087893,-1.945573,-0.364655,-0.927007,0.087668,0.543597
0,43,-0.910611,-2.640711,-0.607426,-0.332534,-0.721426,0.739658
0,44,0.453383,-2.352225,-0.637630,-0.642712,0.424676,0.562523
0,45,-0.201239,-3.087199,-0.978638,-0.053285,-0.198566,0.506671
0,46,-0.567278,-1.894877,-0.273275,-0.813502,-0.513357,0.557881
0,47,-0.041383,3.131643,-0.999095,0.009941,-0.041359,0.471351
0,48,-0.426099,-2.785432,-0.858153,-0.319255,-0.402056,0.501019
0,49,-0.912809,-2.978797,-0.682253,-0.112059,-0.722478,0.661381
0,50,-0.269906,-2.315301,-0.653653,-0.709426,-0.263537,0.472008
0,51,0.137516,-2.194985,-0.578956,-0.803825,0.136656,0.441150
0,52,-0.912442,-2.488353,-0.549195,-0.420314,-0.722302,0.583542
0,53,-0.309275,-2.977243,-0.941154,-0.156086,-0.299777,0.399988
0,54,-0.408704,-2.871673,-0.888543,-0.245834,-0.387372,0.395106
0,55,0.145573,-1.861779,-0.283880,-0.947901,0.144554,0.335309
0,56,-0.687216,-3.064940,-0.800486,-0.061479,-0.596190,0.387113
0,57,0.300485,-2.213737,-0.573467,-0.765516,0.291757,0.257160
0,58,-0.604083,-2.888367,-0.814856,-0.210869,-0.539949,0.265547
0,59,-0.990631,-2.619707,-0.565798,-0.325373,-0.757631,0.313834
1,0,-0.078921,0.762914,0.720580,0.688884,-0.078757,233.976776
1,1,-0.087161,0.769750,0.715366,0.693320,-0.086941,120.769797
1,2,-0.083132,0.765453,0.718584,0.690476,-0.082941,79.022277
1,3,0.022889,0.540544,0.857204,0.514468,0.022885,30.429844
1,4,-0.080203,0.755980,0.725266,0.683801,-0.080031,30.410044
1,5,0.028932,0.490542,0.881709,0.470907,0.028923,25.119884
1,6,0.046693,0.523844,0.864960,0.499667,0.046659,21.413948
1,7,-0.074709,0.735179,0.739645,0.668853,-0.074571,20.259533
1,8,0.135319,0.472964,0.882133,0.451388,0.134499,19.268832
1,9,0.005493,0.536442,0.859520,0.511073,0.005493,17.750268
1,10,0.028016,0.550309,0.852028,0.522746,0.028009,15.592055
1,11,-0.095218,0.741135,0.734371,0.672077,-0.094931,14.173384
1,12,-0.080752,0.392101,0.921103,0.380888,-0.080577,12.626996
1,13,-0.060060,0.749145,0.730953,0.679786,-0.059988,11.708586
1,14,-0.009339,0.502653,0.876269,0.481731,-0.009338,11.016105
1,15,0.072146,0.579804,0.834398,0.546437,0.072021,10.041702
1,16,0.046510,0.548163,0.852561,0.520557,0.046477,7.871788
1,17,-0.218085,0.965753,0.555534,0.803299,-0.214692,7.447091
1,18,0.005127,0.492201,0.881283,0.472561,0.005127,6.332114
1,19,-0.020325,0.523846,0.865723,0.500111,-0.020323,5.415181
1,20,0.046693,0.519940,0.866904,0.496287,0.046659,5.236172
1,21,-0.007508,0.383603,0.927296,0.374254,-0.007507,4.769666
1,22,-0.021058,0.600607,0.824810,0.565018,-0.021055,3.616036
1,23,0.038270,0.743868,0.735317,0.676643,0.038252,3.592473
1,24,-0.007508,0.778640,0.711849,0.702292,-0.007507,3.273530
1,25,0.052004,0.440544,0.903298,0.425856,0.051957,2.898446
1,26,-0.127445,0.865167,0.643282,0.755063,-0.126760,2.478981
1,27,0.296823,0.318569,0.909332,0.299900,0.288403,2.131588
1,28,0.037904,0.747001,0.733203,0.678954,0.037886,1.641804
