Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,0.324839,-0.728733,0.708318,-0.632272,0.313876,88.602618
0,1,0.290414,-0.712326,0.726012,-0.626970,0.282516,85.742944
0,2,0.317698,-0.721506,0.714452,-0.628529,0.307424,74.481957
0,3,0.171026,-0.909305,0.605419,-0.777676,0.169378,71.850652
0,4,0.327403,-0.816822,0.649423,-0.691576,0.316185,73.917128
0,5,0.201056,-0.904813,0.605552,-0.770680,0.198390,59.558841
0,6,0.325388,-0.713303,0.717865,-0.621161,0.314371,53.921298
0,7,0.326487,-0.728343,0.708197,-0.631668,0.315361,50.152961
0,8,0.292062,-0.711936,0.725917,-0.626394,0.284032,48.529962
0,9,0.327586,-0.824439,0.644099,-0.696462,0.316350,47.337373
0,10,0.329051,-0.816529,0.649286,-0.691024,0.317667,41.789610
0,11,0.184393,-0.926103,0.590880,-0.785886,0.182331,38.393584
0,12,0.433241,-0.899930,0.567561,-0.715115,0.408026,38.507552
0,13,0.315683,-0.819557,0.649893,-0.695880,0.305599,24.533025
0,14,0.314951,-0.742992,0.701373,-0.644275,0.304935,20.360319
0,15,0.338572,-0.784984,0.668705,-0.668151,0.326202,14.388620
0,16,0.204901,-0.932646,0.583420,-0.786628,0.202081,13.034543
0,17,0.319529,-0.792603,0.667621,-0.677312,0.309081,13.381791
0,18,0.209296,-0.928738,0.585964,-0.783639,0.206293,11.872562
0,19,0.374828,-0.825512,0.633178,-0.686129,0.358208,8.643906
0,20,0.433058,-0.568278,0.769535,-0.491380,0.407873,7.448516
0,21,0.252876,-0.740844,0.714919,-0.653893,0.247621,6.539600
0,22,0.365490,-0.873365,0.601619,-0.718002,0.350040,6.059113
0,23,0.273019,-0.679510,0.749763,-0.605698,0.266431,4.186481
0,24,0.341319,-0.891436,0.593394,-0.734759,0.328654,3.788580
0,25,0.131108,-0.805490,0.686847,-0.715016,0.130361,2.698811
0,26,0.146306,-0.835666,0.663569,-0.733875,0.145271,2.493245
0,27,0.152532,-1.038210,0.501913,-0.851571,0.151359,2.052949
0,28,0.277596,-0.973765,0.541203,-0.796136,0.270679,2.050166
0,29,0.130741,-1.267903,0.295752,-0.946378,0.130001,1.460637
0,30,0.908963,-1.091725,0.319587,-0.615264,0.720634,1.853639
0,31,-0.326121,-1.096216,0.433697,-0.844193,-0.315031,1.157575
0,32,0.336558,-0.941036,0.557101,-0.764462,0.324401,0.949803
0,33,0.002564,-1.498768,0.071966,-0.997404,0.002564,0.828128
0,34,0.123600,-0.888497,0.625793,-0.770234,0.122974,0.683902
0,35,-0.216254,-0.289164,0.936499,-0.278611,-0.212945,0.511487
0,36,0.285104,-0.145899,0.950484,-0.139667,0.277622,0.456672
0,37,-0.169195,-0.166993,0.972141,-0.163867,-0.167598,0.431147
0,38,-0.109500,-1.145734,0.409918,-0.905579,-0.109065,0.421459
0,39,0.180548,-0.025005,0.983612,-0.024600,0.178611,0.396513
0,40,0.249763,-1.141249,0.403799,-0.881516,0.244696,0.348988
0,41,0.186956,-0.638401,0.789217,-0.585648,0.184808,0.313754
0,42,-0.328318,-0.375107,0.882477,-0.347475,-0.317009,0.252784
1,0,0.186407,2.363451,-0.700022,0.689935,0.184278,147.272147
1,1,0.178533,2.358080,-0.697296,0.694672,0.176660,99.375489
1,2,0.407605,2.329856,-0.634774,0.669125,0.386437,87.077023
1,3,0.401563,2.341966,-0.644324,0.662924,0.381285,56.519635
1,4,0.373363,2.337083,-0.647787,0.673033,0.356930,48.975996
1,5,0.380505,2.329173,-0.640793,0.676394,0.363146,45.815196
1,6,0.187139,2.370873,-0.705028,0.684628,0.184985,40.925062
1,7,0.291879,2.411401,-0.714399,0.639574,0.283863,29.396743
1,8,0.307260,2.343919,-0.666656,0.683228,0.297943,23.635956
1,9,0.185675,2.386889,-0.716095,0.673431,0.183570,22.141890
1,10,0.303415,2.383472,-0.693941,0.657080,0.294435,20.731494
1,11,0.341319,2.336986,-0.654877,0.680531,0.328654,20.828916
1,12,0.392407,2.328001,-0.637201,0.674183,0.373433,18.595235
