Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,0.185125,1.030012,0.506111,0.842822,0.183039,398.990690
0,1,0.182928,1.013214,0.520405,0.834535,0.180914,242.374462
0,2,0.293893,0.866237,0.620698,0.730138,0.285714,111.067357
0,3,0.285470,0.837721,0.642788,0.713836,0.277960,105.859135
0,4,0.296823,0.860769,0.624157,0.726121,0.288403,55.417219
0,5,0.184759,1.034797,0.502106,0.845290,0.182685,34.677318
0,6,0.176153,1.041438,0.497245,0.849911,0.174353,31.085506
0,7,0.176336,1.058137,0.482968,0.858068,0.174531,22.469874
0,8,0.164983,0.990460,0.540926,0.825025,0.163502,19.465067
0,9,0.268624,0.910380,0.591960,0.762076,0.262344,19.284837
0,10,0.301584,0.839869,0.638312,0.711933,0.292761,15.205274
0,11,0.261849,1.352972,0.208903,0.943828,0.256024,9.948776
0,12,-0.085513,0.960087,0.571358,0.816255,-0.085305,9.385775
0,13,0.251595,0.910771,0.594230,0.765617,0.246417,9.544309
0,14,0.186590,1.037140,0.499956,0.846180,0.184454,9.268411
0,15,0.159856,1.026397,0.511356,0.844624,0.158508,9.218101
0,16,0.200323,0.909307,0.602170,0.773506,0.197686,6.531235
0,17,0.433973,0.727364,0.681720,0.606855,0.408636,6.912033
0,18,0.202338,1.146517,0.403379,0.892993,0.199621,3.635674
0,19,0.077639,1.103546,0.449078,0.890126,0.077483,3.361669
0,20,0.311838,0.891632,0.598792,0.741740,0.302108,3.415451
0,21,0.395337,0.988600,0.509522,0.773982,0.375952,2.352251
0,22,0.236946,1.003746,0.522412,0.820353,0.232609,2.150792
0,23,0.110416,1.200715,0.359497,0.926644,0.109969,1.954235
0,24,-0.317698,1.341344,0.216429,0.926633,-0.307424,2.003263
0,25,0.679525,1.557866,0.010428,0.806450,0.591211,2.008782
0,26,0.205084,0.852461,0.644530,0.737342,0.202257,1.573537
0,27,-0.464003,0.625123,0.730799,0.527397,-0.433341,1.658974
