Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-1.020844,-2.380249,-0.461702,-0.440008,-0.770210,563.664957
0,1,-1.030549,-2.369213,-0.453408,-0.441754,-0.774128,272.697023
0,2,-1.203406,-2.332982,-0.380274,-0.398351,-0.834691,58.049083
0,3,-1.029084,-2.360815,-0.450192,-0.446051,-0.773541,47.879943
0,4,-1.284158,-2.432105,-0.390225,-0.335062,-0.857589,46.783622
0,5,-1.223182,-2.366088,-0.386790,-0.379212,-0.840590,43.701532
0,6,-1.198096,-2.323215,-0.378035,-0.403830,-0.833073,39.178076
0,7,-1.022675,-2.332396,-0.439506,-0.460939,-0.770954,31.942284
0,8,-1.283242,-2.400269,-0.379660,-0.347586,-0.857346,30.658688
0,9,-1.095920,-2.247237,-0.376423,-0.468892,-0.799029,21.594088
0,10,-1.149754,-2.350463,-0.404730,-0.409396,-0.817673,20.478377
0,11,-1.270241,-2.401537,-0.384352,-0.350987,-0.853863,13.471181
0,12,-1.083285,-2.319503,-0.413436,-0.444946,-0.794414,10.991175
0,13,-1.634449,-2.591874,-0.320451,-0.196346,-0.926693,16.069020
0,14,-1.107639,-2.255536,-0.376747,-0.461400,-0.803226,9.115197
0,15,-1.448408,-2.410521,-0.331513,-0.297317,-0.895378,11.263286
0,16,-1.015900,-2.466386,-0.499742,-0.400175,-0.768191,7.376611
0,17,-1.082369,-2.393723,-0.445616,-0.413364,-0.794076,6.998648
0,18,-1.240211,-2.378000,-0.385702,-0.369238,-0.845516,6.873151
0,19,-1.240211,-2.364230,-0.380582,-0.374514,-0.845516,6.437864
0,20,-1.192053,-2.417264,-0.416377,-0.368392,-0.831214,6.088235
0,21,-1.315653,-2.693445,-0.451135,-0.216894,-0.865699,6.605813
0,22,-1.312906,-2.580746,-0.424890,-0.266886,-0.865009,6.232014
0,23,-1.334513,-2.318720,-0.334915,-0.361007,-0.870348,6.286496
0,24,-1.071383,-2.170187,-0.345891,-0.506249,-0.789982,4.800543
